Author,h-index
"Bime, Christian",1
"Zeng, Jun",0
"Li, Jiankang",0
"Gong, Huankai",0
"Chen, Meiling",0
"Li, Quan",1
"Liu, Shengxing",0
"Luo, Shanjun",0
"Dong, Huanxiang",0
"Xu, Yingke",0
"Duan, Huanling",0
"Huang, Ling",0
"Lv, Chuanzhu",0
"Zhu, Jiangfeng",0
"Dong, Xiaoping",0
"Zhu, Jingfa",0
"Lin, Xinyu",0
"Yan, Cairong",0
"Yang, Shaodong",0
"Xu, Zhenwei",0
"Qian, Tiantian",0
"Qi, Boyang",1
"Fei, Yuxin",0
"Li, Jun",1
"Luo, Liqing",1
"Lv, Bingjie",0
"Song, Yutong",0
"Sheng, Shurui",0
"Xiao, Wenhan",0
"Huang, Xiao",4
"Wang, Xiaozhi",6
"Li, Guoxun",1
"Jiang, Xiaohan",1
"Liang, Xiaoyu",1
"Hou, Yue",2
"Zang, Jingnan",1
"Zhu, Benzhi",1
"Jia, Congcong",1
"Niu, Kunwei",1
"Liu, Xia",2
"Xu, Xiaoli",1
"Jiang, Rui",1
"Wang, Bing",2
"Tsikis, Savas T.",0
"Hirsch, Thomas I.",0
"Fligor, Scott C.",0
"Quigley, Mikayla",0
"Puder, Mark",0
"Morrow, Gael B.",2
"Mutch, Nicola J.",2
"Ta, Huy Q.",1
"Teman, Nicholas R.",1
"Kron, Irving L.",1
"Roeser, Mark E.",1
"Laubach, Victor E.",1
"Wang, Ziyi",1
"Wang, Xuesong",1
"Guo, Zhe",1
"Liao, Haiyan",1
"Chai, Yan",1
"Wang, Ziwen",1
"Wang, Zhong",1
"Takizawa, Satoshi",1
"Lee, Yongchan",1
"Jacob, Asha",1
"Aziz, Monowar",1
"Wang, Ping",3
"Tiboldi, Akos",0
"Hunyadi-Gulyas, Eva",0
"Wohlrab, Peter",0
"Schmid, Johannes A.",0
"Markstaller, Klaus",0
"Klein, Klaus Ulrich",0
"Tretter, Verena",0
"Wu, Yanli",0
"Li, Mei",0
"Bai, Jijia",1
"Ma, Xigang",2
"You, Ting",0
"Zhang, Bihong",0
"Guo, Jing",0
"Liu, Qiao-Zhou",0
"Zhu, Fang-Juan",0
"Li, Min",1
"Li, Jiao",0
"Guo, Li",0
"Sun, Qian-Yun",0
"Yang, Qing-Xiong",0
"Sauer, Agnes",1
"Seeliger, Benjamin",1
"Jandl, Katharina",2
"Erfinanda, Lasti",2
"Wilhelm, Jochen",1
"Alexopoulos, Ioannis",1
"Baal, Nelli",1
"Birnhuber, Anna",1
"David, Sascha",2
"Welte, Tobias",1
"Barreto, Guillermo",2
"Gaertner, Ulrich",1
"Kwapiszewska, Grazyna",1
"Seeger, Werner",2
"Kuebler, Wolfgang M.",6
"Schaefer, Liliana",1
"Wygrecka, Malgorzata",1
"Chiaretti, Sara",2
"Burton, Mark",1
"Hassel, Penny",1
"Radenkovic, Filip",1
"Devikashri, Nilam",1
"Sultana, Annette J.",2
"Temple, Fergal T.",1
"Dean, Melinda M.",2
"Tung, John-Paul",2
"Liu, Zixuan",0
"Chen, Mingming",1
"Sun, Yini",0
"Li, Xu",2
"Cao, Liu",0
"Ma, Xiaochun",4
"Nasrullah, Adeel",1
"Virk, Shiza",1
"Shah, Aaisha",1
"Jacobs, Max",1
"Hamza, Amina",1
"Sheikh, Abu Baker",1
"Javed, Anam",1
"Butt, Muhammad Ali",1
"Sangli, Swathi",1
"Yang, Qi",0
"Luo, Yalan",0
"Lan, Bowen",0
"Dong, Xuanchi",0
"Wang, Zhengjian",0
"Ge, Peng",0
"Zhang, Guixin",0
"Chen, Hailong",3
"Zheng, Dongdong",1
"Liu, Jia",1
"Piao, Hulin",1
"Zhu, Zhicheng",1
"Wei, Ran",1
"Liu, Kexiang",1
"Guo, Wei",1
"Zhang, Yi",5
"Yang, Juan",0
"Liu, Ping",1
"Zhang, Ren-jun",0
"Li, Ji-da",0
"Bi, Yu-hai",0
"Kubra, Khadeja-Tul",3
"Mu, Qinghua",1
"Zhang, Chengxia",1
"Li, Rong",1
"Guo, Zhongqiu",1
"Li, Yuhua",0
"Cui, Shengyu",0
"Wu, Bing",1
"Gao, Jixian",0
"Li, Ming",0
"Zhang, Furong",0
"Xia, Hao",0
"Ye, Lifang",1
"Song, Jieqiong",2
"Zheng, Yijun",1
"Zhong, Ming",2
"Liu, Jun",1
"Zhu, Duming",2
"Hu, Shuling",5
"Tong, Kun",0
"Chen, Zhe",0
"Wen, Zhengde",0
"Han, Xiuxia",1
"Millar, Michelle Warren",3
"Fazal, Fabeha",9
"Rahman, Arshad",8
"Xue, Yao",1
"Zhang, Yunqian",2
"Chen, Li",4
"Wang, Yan",3
"Lv, Zhou",1
"Yang, Li-Qiao",1
"Li, Siyuan",2
"Hao, Xiuling",1
"Wei, Huiqiang",1
"Yang, Rui",1
"Zhang, Xiaojuan",1
"Youn, Ji Youn",0
"Wang, Jian",0
"Li, Qian",0
"Huang, Kai",3
"Cai, Hua",1
"Zhang, Na",2
"Tang, Sihui",1
"Zhang, Jinjin",1
"Pei, Biwei",1
"Pang, Tingting",1
"Sun, Gengyun",5
"Wang, Hongbo",0
"Jin, Jianbo",0
"Hu, Jingbo",1
"Yang, Chunlin",0
"Gonzalez-Rodriguez, Paloma",1
"Herrero, Raquel",3
"Sanchez, Gema",0
"Angel Lorente, Jose",1
"Huang, Huang",1
"Zhu, Jing",1
"Gu, Lili",1
"Hu, Jiang",1
"Feng, Xiujing",1
"Huang, Weiliang",1
"Wang, Sheng",1
"Yang, Yang",4
"Cui, Ping",1
"Lin, Shao-Hsuan",1
"Suen, Andrew",1
"Shimada, Briana K.",1
"Williams, Brittney",1
"Kane, Maureen A.",1
"Ke, Yunbo",6
"Zhang, Chen-Ou",4
"Chao, Wei",1
"Zou, Lin",1
"Jiang, Zeyu",1
"Tan, Jinyi",1
"Yuan, Yan",1
"Shen, Jiang",1
"Chen, Yan",1
"Keskinidou, Chrysi",1
"Lotsios, Nikolaos S.",1
"Vassiliou, Alice G.",3
"Dimopoulou, Ioanna",2
"Kotanidou, Anastasia",4
"Orfanos, Stylianos E.",6
"Kim, Junghyun",4
"Baalachandran, Ramasubramanian",1
"Karki, Pratap",7
"Ramasubramanian, Baalachandran",1
"Promnares, Kamoltip",2
"Tanaka, Kenichi A.",1
"Shen, Jia",1
"Ma, Xiaojun",1
"Wang, Xiaoyu",1
"Lin, Feixue",1
"Guo, Lisha",1
"Morsing, Sofia K. H.",1
"van der Laan, Eveline Zeeuw",1
"van Stalborch, Anne-Marieke D.",1
"van Buul, Jaap D.",1
"Kapur, Rick",1
"Vlaar, Alexander P.",1
"Zhu, Xiandong",1
"Duan, Feixiang",1
"Wang, Xiaowu",1
"Wang, Yongqiang",1
"Chen, Jiawei",1
"Zhang, Lanyu",1
"Wu, Minmin",1
"Pan, Zhuo",1
"Chen, Bicheng",3
"Zhang, Lei",2
"Li, Bin",1
"Zhang, Degang",1
"Yu, Qin",1
"Saini, Yogesh",1
"Kousoulas, Konstantin G.",1
"Zemskov, Evgeny A.",7
"Gross, Christine M.",8
"Aggarwal, Saurabh",6
"Zemskova, Marina A.",2
"Wu, Xiaomin",4
"Gu, Chenxin",1
"Wang, Ting",13
"Tang, Haiyang",4
"Black, Stephen M.",12
"Selickman, John",1
"Vrettou, Charikleia S.",1
"Mentzelopoulos, Spyros D.",1
"Le, Aiping",1
"Liu, Wei",6
"Wu, Chenggao",1
"Hu, Piaoping",1
"Zou, Juan",1
"Wu, Yize",1
"Kuang, Linju",1
"Wang, Hui",4
"Cong, Linjing",1
"Yin, Xianghong",1
"Zhang, Nan",2
"Zhu, Min",1
"Sun, Tingting",1
"Fan, Junming",1
