Author,Citations
"Zhang, Jinxin",2
"Wang, Ruizhi",2
"Yang, Xuekang",12
"Wang, Yunchuan",2
"Hu, Dahai",62
"Deng, Yue",1
"Huang, Xingming",1
"Hu, Yan",20
"Zhong, Weiting",1
"Zhang, Hua",1
"Mo, Chunheng",1
"Wang, Hongjun",1
"Ding, Bi-Sen",63
"Wang, Chen",122
"Chen, Xiaorui",4
"Qi, Di",186
"Fan, Shulei",19
"He, Yirui",0
"Jing, Hekun",0
"Wang, Daoxin",195
"Conger, Adrienne K.",0
"Tomasek, Toria",0
"Riedmann, Kyle J.",0
"Douglas, Joel S.",0
"Berkey, Lucia E.",0
"Ware, Lorraine B.",203
"Bastarache, Julie A.",109
"Meegan, Jamie E.",0
"Jo, Ara",1
"Kim, Dae Woo",1
"Zhang, Huiling",0
"Zhang, Xuedi",0
"Ling, Chunxiu",0
"Liu, Change",0
"Hua, Shaodong",0
"Xiong, Ziying",0
"Zhao, Huimin",0
"Feng, Qiushuang",0
"Feng, Zhichun",0
"Tang, Jing",0
"Hong, Xiaoyang",0
"Moraes, Carla Roberta Peachazepi",1
"Borba-Junior, Ivanio Teixeira",8
"de Lima, Franciele",8
"Silva, Jessica Ribeiro Alves",1
"Bombassaro, Bruna",1
"Palma, Andre C.",1
"Mansour, Eli",1
"Velloso, Licio Augusto",1
"Orsi, Fernanda Andrade",1
"Costa, Fabio Trindade Maranhao",1
"De Paula, Erich Vinicius",8
"von Ehrlich, Bodo",0
"Kisters, Klaus",0
"Nguyen-Duong, Hoang",0
"Luo, Yuling",4
"Ge, Shanhui",11
"Chen, Qingui",11
"Lin, Shan",4
"He, Wanmei",11
"Zeng, Mian",11
"Li, Narengerile",0
"Xu, Xiyuan",0
"Qi, Zhimin",0
"Gao, Chanchan",0
"Zhao, Pengfei",0
"Yang, Jingping",0
"Damirin, Alatangaole",0
"Ouyang, Huijuan",0
"Wang, Yi",0
"Wu, Jie",9
"Ji, Yanli",0
"Tan, Ying Ying",1
"O'Dea, Kieran P.",52
"Tsiridou, Diianeira Maria",1
"Soo, Aurelie Pac",1
"Koh, Marissa W.",1
"Beckett, Florence",1
"Takata, Masao",52
"Xiao, Qiaosu",0
"He, Wenyang",0
"Zyrianova, Tatiana",11
"Zou, Kathlyn",0
"Lopez, Benjamin",11
"Liao, Andy",11
"Gu, Charles",11
"Olcese, Riccardo",11
"Schwingshackl, Andreas",11
"Zhang, Mei-Ling",1
"Wang, Meng",1
"Chen, Jian",1
"Liu, Yan-Jie",1
"Yu, Ya-Jie",1
"Liu, Li-Min",1
"Zheng, Xiao-Hui",1
"Xiao, Ying-Chou",1
"Zhang, Jun-Ming",1
"Zhu, Meng-Xue",1
"Yue, Xian",1
"Zhao, Ye",3
"Niu, Wen",1
"Li, Zhichao",38
"Borrmann, Melanie",0
"Brandes, Florian",0
"Kirchner, Benedikt",0
"Klein, Matthias",0
"Billaud, Jean-Noel",0
"Reithmair, Marlene",0
"Rehm, Markus",0
"Schelling, Gustav",0
"Pfaffl, Michael W.",0
"Meidert, Agnes S.",0
"Min, Simin",0
"Tao, Weiting",0
"Ding, Dushan",0
"Zhang, Xiaonan",0
"Zhao, Shidi",0
"Zhang, Yong",8
"Liu, Xiaojie",0
"Gao, Kefei",0
"Liu, Saisai",0
"Li, Li",5
"Hou, Min",0
"Li, Nan",1
"Li, Yuqiang",1
"Wu, Bin",1
"Sun, Rongli",1
"Zhao, Mingzhou",1
"Hu, Zhansheng",6
"Liu, Huang",1
"Shi, Qingqiang",1
"Tang, Ling",1
"Wang, Hanghang",1
"Sun, Xiaoguang",282
"Sammani, Saad",499
"Hufford, Matthew",0
"Sun, Belinda L. L.",0
"Kempf, Carrie L.",139
"Camp, Sara M.",202
"Garcia, Joe G. N.",1400
"Bime, Christian",40
"Zeng, Jun",0
