Author,Citations
"Kovacs, Laszlo",13
"Cherian-Shaw, Mary",21
"Patel, Vijay",54
"Meadows, Mary L.",13
"Benatti, Maira Nilson",16
"Miranda, Carlos Henrique",16
"Ma, Yonggang",16
"Zabell, Taylor",16
"Creasy, Alexandra",16
"Yang, Xiaoyuan",16
"Chatterjee, Victor",16
"Villalba, Nuria",16
"Kistler, Erik B.",16
"Wu, Mack H.",42
"Yuan, Sarah Y.",42
"Wu, Dingqian",3
"Fu, Xiaoxiao",3
"Ye, Ligang",3
"Han, Shu",3
"Zhang, Mao",3
"Kang, Sujin",156
"Tanaka, Toshio",156
"Inoue, Hitomi",156
"Ono, Chikako",156
"Hashimoto, Shoji",156
"Kioi, Yoshiyuki",156
"Matsumoto, Hisatake",156
"Matsuura, Hiroshi",156
"Matsubara, Tsunehiro",156
"Shimizu, Kentaro",156
"Ogura, Hiroshi",156
"Matsuura, Yoshiharu",156
"Kishimoto, Tadamitsu",156
"Acosta, Manuel A. Torres",121
"Singer, Benjamin D.",121
"Anwar, Mumtaz",8
"Ito, Homare",22
"Kimura, Hiroaki",22
"Karasawa, Tadayoshi",22
"Hisata, Shu",22
"Sadatomo, Ai",22
"Inoue, Yoshiyuki",22
"Yamada, Naoya",22
"Aizawa, Emi",22
"Hishida, Erika",22
"Kamata, Ryo",22
"Komada, Takanori",22
"Watanabe, Sachiko",22
"Kasahara, Tadashi",22
"Horie, Hisanaga",22
"Kitayama, Joji",22
"Sata, Naohiro",22
"Yamaji-Kegan, Kazuyo",22
"Takahashi, Masafumi",22
"Jiang, Jinyao",72
"Xu, Shiqing",72
"Lu, Zilong",43
"Feng, Haojie",43
"Shen, Xiaokang",15
"He, Ruyuan",15
"Meng, Heng",15
"Lin, Weichen",15
"Xu, Fan",30
"Yu, Hong",9
"Liu, Yajun",9
"Wang, Meifang",9
"Restrepo, Ricardo J.",9
"Wang, Derek",9
"Kalogeris, Theodore J.",9
"Neumann, William L.",9
"Ford, David A.",44
"Korthuis, Ronald J.",9
"Zhu, Banghui",1
"Wu, Guosheng",1
"Xiao, Yongqiang",1
"Jin, Jian",1
"Wang, Kangan",1
"Jiang, Yong",1
"Sun, Yu",59
"Ben, Daofeng",1
"Xia, Zhaofan",1
"Okada, Hideshi",110
"Yoshida, Shozo",110
"Hara, Akira",56
"Ogura, Shinji",110
"Tomita, Hiroyuki",110
"Wazny, Vanessa",14
"Siau, Anthony",14
"Wu, Kan Xing",14
"Cheung, Christine",14
"Jiang, Wen-Yang",28
"Ren, Jie",28
"Zhang, Xing-Hua",28
"Yao, Xiao-Li",28
"Li, Dong-Hang",28
"Xiong, Rui",28
"Fan, Tao",28
"Pellegrini, Giovanni",0
"Williams, Dominic Paul",0
"Amadio, Daniele",0
"Park, Brian Kevin",0
"Kipar, Anja",378
"Shadab, Mohammad",11
"Slavin, Spencer A.",101
"Leonard, Antony",223
"Li, Zi-Ming",13
"Xu, Sheng-Ya",13
"Feng, Yi-Zhuo",13
"Cheng, Yu-Rui",13
"Xiong, Jian-Bing",13
"Zhou, Yong",13
"Guan, Cha-Xiang",13
"Srivastava, Nityanand",2
"Tauseef, Mohammad",504
"Amin, Ruhul",39
"Joshi, Bhagwati",2
"Kini, Vidisha",2
"Klomp, Jennifer",2
"Li, Weenan",2
"Knezevic, Nebojsa",173
"Barbera, Nicolas",2
"Siddiqui, Shahid",2
"Obukhov, Alexander G.",173
"Karginov, Andrei",2
"Levitan, Irena",2
"Komorova, Yulia A.",108
"James, Joel",14
"Srivastava, Anup",48
"Varghese, Mathews Valuparampil",14
"Eccles, Cody A.",14
"Rafikova, Olga",23
"Rafikov, Ruslan",151
"Maekawa, Tomoki",17
"Tamura, Hikaru",17
"Domon, Hisanori",17
"Hiyoshi, Takumi",17
"Isono, Toshihito",17
"Yonezawa, Daisuke",17
"Hayashi, Naoki",17
"Takahashi, Naoki",17
"Tabeta, Koichi",17
"Maeda, Takeyasu",17
"Oda, Masataka",17
"Ziogas, Athanasios",17
"Alexaki, Vasileia Ismini",17
"Chavakis, Triantafyllos",17
"Terao, Yutaka",17
"Hajishengallis, George",17
"Mu, Shengtian",82
"Tang, Jie",0
"Ma, Jian-Qi",0
"Zhong, Yu",0
"Liu, Han-Zhe",0
"Ma, Xiao-Chun",0
"Zheng, Zhen",0
"Zhang, Jisen",4
"Su, Meiling",4
"Yin, Zongning",14
"Ding, Hongguang",8
"Liu, Xinqiang",8
"Li, Xusheng",8
"Wen, Miaoyun",8
"Li, Ya",8
"Han, Yongli",8
"Huang, Linqiang",8
"Liu, Mengting",8
"Zeng, Hongke",39
"Wyman, Anne E.",10
"Nguyen, Trang T. T.",10
"Tulapurkar, Mohan E.",47
"Feng, Theresa G.",10
"Dabo, Abdoulaye J.",10
"Todd, Nevins W.",10
"Luzina, Irina G.",10
"Geraghty, Patrick",10
"Foronjy, Robert F.",10
"Hasday, Jeffrey D.",47
"Atamas, Sergei P.",10
"Tomita, Kengo",9
"Saito, Yuna",9
"Suzuki, Tokiko",18
"Imbaby, Samar",9
"Hattori, Kohshi",18
"Matsuda, Naoyuki",18
"Hattori, Yuichi",18
"Suzuki, Kodai",54
"Takemura, Genzou",54
"Takada, Chihiro",54
"Yano, Hirohisa",54
"Muraki, Isamu",18
"Zaikokuji, Ryogen",54
"Kuroda, Ayumi",54
"Fukuda, Hirotsugu",18
"Nishio, Ayane",18
"Takashima, Shigeo",18
"Suzuki, Akio",18
"Miyazaki, Nagisa",54
"Fukuta, Tetsuya",54
"Yamada, Noriaki",18
"Watanabe, Takatomo",54
"Doi, Tomoaki",18
"Yoshida, Takahiro",54
"Kumada, Keisuke",18
"Ushikoshi, Hiroaki",54
"Chen, Chuan-Mu",11
"Lu, Hsiao-Ching",11
"Tung, Yu-Tang",11
"Fattahi, Fateme",12
"Grailer, Jamison J.",58
"Parlett, Michella",12
"Lu, Hope",12
"Malan, Elizabeth A.",12
"Abe, Elizabeth",12
"Russell, Mark W.",12
"Frydrych, Lynn M.",12
"Delano, Matthew J.",12
"Zetoune, Firas S.",58
"Ward, Peter A.",58
"Shil, Aparna",22
"Xiong, Shiqin",81
"Huang, Longshuang",200
"Tsukasaki, Yoshikazu",81
"Nepal, Saroj",81
"Di, Anke",138
"Wu, Wei",89
"Ye, Zhiming",81
"Gao, Xiaopei",81
"Rao, Gadiparthi N.",81
"Rehman, Jalees",173
"Younes, Nadim",14
"Zhou, Louis",14
"Schaefer, Inga-Marie",190
"Solomon, Isaac H.",190
"Kanjilal, Sanjat",190
"Hammer, Mark M.",190
"Hornick, Jason L.",190
"Sholl, Lynette M.",190
"Saguil, Aaron",45
"Fargo, Matthew, V",45
"Whyte, Claire S.",175
"Mitchell, Joanne L.",175
"Chowdary, Pratima",175
"Goodwin, Andrew J.",28
"Li, Pengfei",14
"Halushka, Perry V.",28
"Cook, James A.",28
"Sumal, Aman S.",14
"Fan, Hongkuan",28
"Fu, Panfeng",172
"Ramchandran, Ramaswamy",14
"Shaaya, Mark",14
"Ebenezer, David L.",14
"Jiang, Ying",14
"Vogel, Stephen M.",333
"Du, Guangwei",14
"Tonks, Nicholas K.",14
"Qiao, Jiajia",4
"He, Rui",4
"Yin, Yonghua",4
"Tian, Li",4
"Li, Ling",4
"Lian, Zhengqiu",4
"Fang, Peng",4
"Liu, Zhong",4
"Yu, Wen-Ying",24
"Li, Lan",24
"Wu, Fang",24
"Zhang, Huan-Huan",24
"Fang, Jie",24
"Zhong, Yu-Sen",24
"Yu, Chen-Huan",24
"Su, Shihong",5
"Xu, Aihui",5
"Chen, Yang",5
"Li, Wanzhen",5
"Zha, Xiaojun",5
"Wang, Yani",5
"Abedi, Farshad",66
"Hayes, A. Wallace",66
"Reiter, Russel",66
"Karimi, Gholamreza",66
"Liang, Jiang",63
"Yuan, Shiwen",12
"Wang, Xiaohua",12
"Lei, Yan",12
"Zhang, Xuemei",12
"Huang, Mingcheng",63
"Ouyang, Hui",63
"Rizzo, Alicia N.",298
"Demeritte, Regaina",9
"Yao, Meng-Ying",29
"Zhang, Wei-Hong",29
"Ma, Wen-Tao",29
"Liu, Qiu-Hong",29
"Xing, Li-Hua",29
"Zhao, Gao-Feng",29
"van de Veerdonk, Frank L.",189
"Netea, Mihai G.",189
"van Deuren, Marcel",189
"van der Meer, Jos W. M.",189
"de Mast, Quirijn",189
"Brueggemann, Roger J.",189
"van der Hoeven, Hans",189
"Goligorsky, Michael S.",44
"Sun, Dong",44
"Su, Pei Yi",4
"Yule, David, I",34
"Xu, Shumin",44
"Yang, Qian",17
"Bai, Jianwen",44
"Tao, Tianzhu",17
"Tang, Lunxian",17
"Chen, Yaping",17
"Fallon, Eleanor A.",42
"Zhu, Tao",38
"Cho, Hye-Youn",21
"Kleeberger, Steven R.",21
"Trent, Brandon",11
"Liang, Yuejin",11
"Xing, Yan",11
"Esqueda, Marisol",11
"Wei, Yang",11
"Cho, Nam-Hyuk",11
"Kim, Hong-Il",11
"Kim, Yeon-Sook",11
"Shelite, Thomas R.",11
"Cai, Jiyang",11
"Sun, Jiaren",11
"Bouyer, Donald H.",11
"Liu, Jinjun",11
"Soong, Lynn",11
"Zhan, Qionghui",11
"Ma, Xiaoxiao",11
"He, Zhenzhou",11
"Zhang, Dong",88
"Zhu, Wei-wei",23
"Niethamer, Terren K.",84
"Stabler, Collin T.",84
"Leach, John P.",84
"Zepp, Jarod A.",84
"Morley, Michael P.",84
"Babu, Apoorva",84
"Zhou, Su",84
"Morrisey, Edward E.",84
"Qiu, Nan",88
"Xu, Xinmei",88
"He, Yingying",88
"Mao, Min",15
"Shen, Tingting",15
"Yu, Hao",15
"Zhang, Junting",15
"Chen, Xinxin",15
"Zhao, Xijuan",15
"Zhu, Daling",15
"Yang, Li-Li",33
"Bhandari, Suwas",33
"Liu, Yongjian",75
"Scott, Aaron",33
"Smith, Fang Gao",33
"Li, Yuan",12
"Chen, Hongguang",12
"Shu, Ruichen",12
"Zhang, Xiaobei",12
"Yu, Yonghao",12
"Liu, Xiaofeng",12
"Xu, Kuibin",12
"Lopes-Pacheco, Miqueias",50
"Robba, Chiara",50
"Macedo Rocco, Patricia Rieken",71
"Dong, Xiaoliang",12
"Zheng, Shuangning",12
"Sun, Jinbing",12
"Ye, Juan",12
"Chen, Jiao",12
"Fang, Yuan",12
"Zhao, Bing",12
"Yin, Zhimin",12
"Cao, Peng",12
"Luo, Lan",12
"Deng, Qiufang",47
"Pan, Baihong",47
"Alam, Hasan B.",51
"Liang, Yingjian",100
"Wu, Zhenyu",47
"Liu, Baoling",51
"Mor-Vaknin, Nirit",47
"Duan, Xiuzhen",47
"Williams, Aaron M.",47
"Tian, Yuzi",47
"Zhang, Justin",47
"Li, Yongqing",51
"Marciniak, Alexander",5
"Chiang, Eddie T.",318
"Bittman, Robert",148
"Polt, Robin",5
"Perez, Ruth G.",5
"Geng, Ping",4
"Yu, Fen",4
"Xu, Jiyang",4
"Yang, Yan",4
"Xu, Min",4
"Wang, Huihui",4
"Leng, Chenghui",16
"Sun, Junli",16
"Xin, Keke",16
"Ge, Jianlin",16
"Feng, Xiaojing",16
"Li, Yajie",0
"Shi, Jun",0
"Xu, Qiaolian",4
"Wang, Jun",25
"Zheng, Yun",0
"Zhou, Dengchuan",0
"Dal, Chengcai",0
"Cheng, Jun",0
"Li, Jiabin",0
"Zheng, Yijuan",12
"Guo, Feng",114
"Zhao, Quanming",25
"Huan, Jingning",95
"Zhou, Yile",19
"Yang, Yajie",19
"Liang, Tao",19
"Tang, Haihong",19
"Song, Dongli",34
"Fang, Hao",34
"Moura, Gabriel Candido",7
"Costa, Douglas de Sousa",7
"Murillo, Oscar",7
"Farias Marinho, Claudio Romero",7
"Rommel, Marcel G. E.",12
"Milde, Christian",12
"Eberle, Regina",12
"Schulze, Harald",12
"Modlich, Ute",12
"Wei, Jianxin",20
"Shah, Dilip",103
"Torres, Claudio",15
"Bhandari, Vineet",52
"Chang, Jae C.",69
"Lin, Chi-Shiuan",9
"Mo, Min-Hsiang",9
"Ye, Wen",50
"Zheng, Chenlei",32
"Yu, Dinglai",50
"Zhang, Fan",50
"Pan, Reguang",32
"Ni, Xiaofeng",32
"Shi, Zhehao",50
"Zhang, Zhongjing",32
"Xiang, Yukai",32
"Sun, Hongwei",74
"Shi, Keqing",32
"Zhang, Qiyu",32
"Zhou, Mengtao",74
"Alam, Mohammad Afaque",37
"Betal, Suhita Gayen Nee",11
"Aghai, Zubair H.",11
"Zhang, Chuankai",38
"Gao, Chengjin",93
"Ji, Jing-jing",11
"Fan, Jie",219
"Ye, Lechi",13
"Xu, Honglei",13
"Xu, Hanyan",13
"Xu, Lingna",13
"Hou, Tongtong",13
"Yang, Bowen",10
"Zhao, Xuan",10
"Xi, Mingrong",10
"Takei, Yusuke",21
"Yamada, Mitsuhiro",21
"Saito, Koji",21
"Kameyama, Yoshinobu",21
"Sugiura, Hisatoshi",21
"Makiguchi, Tomonori",21
"Fujino, Naoya",21
"Koarai, Akira",21
"Toyama, Hiroaki",21
"Saito, Kazutomo",21
"Ejima, Yutaka",21
"Kawazoe, Yu",21
"Kudo, Daisuke",21
"Kushimoto, Shigeki",21
"Yamauchi, Masanori",21
"Ichinose, Masakazu",21
"Twaddell, Scott H.",97
"Baines, Katherine J.",97
"Grainge, Christopher",97
"Gibson, Peter G.",97
"Claser, Carla",31
"Nguee, Samantha Yee Teng",31
"Balachander, Akhila",31
"Howland, Shanshan Wu",31
"Becht, Etienne",31
"Gunasegaran, Bavani",31
"Hartimath, Siddesh V.",31
"Lee, Audrey W. Q.",31
"Ho, Jacqueline Theng Theng",31
"Ong, Chee Bing",31
"Newell, Evan W.",31
"Goggi, Julian",31
"Ng, Lai Guan",31
"Renia, Laurent",31
"Punsawad, Chuchard",11
"Viriyavejakul, Parnpen",11
"Bijli, Kaiser M.",73
"Santos, Dawling A. Dionisio",19
"Noel-MacDonnell, Janelle",25
"Rajasingh, Johnson",64
"Ye, Shui Qing",25
"Rasmuson, Joel",17
"Kenne, Ellinor",17
"Wahlgren, Mats",17
"Soehnlein, Oliver",17
"Lindbom, Lennart",17
"Tariket, Sofiane",18
"Hamzeh-Cognasse, Hind",18
"Laradi, Sandrine",18
"Arthaud, Charles-Antoine",18
"Eyraud, Marie-Ange",18
"Bourlet, Thomas",18
"Berthelot, Philippe",18
"Garraud, Olivier",18
"Cognasse, Fabrice",18
"Huang, Weifeng",72
"Cao, Yongmei",69
"Liu, Yujing",10
"Ping, Feng",10
"Shang, Jiawei",10
"Zhang, Zhongwei",10
"Li, Yingchuan",131
"Huang, Xiaojia",115
"Zhao, David X.",23
"Hu, Guochang",106
"Akhtar, Suhail",31
"McDonough, Kelli",31
"Morishita, Kentaro",36
"Oda, Kazumasa",36
"Matsuo, Saori",36
"Uchida, Akihiro",36
"Sampei, So",36
"Kawaguchi, Tomonori",36
"Maekawa, Yoichi",36
"Wang, Lina",56
"Cao, Yapeng",56
"Zhou, Yaqi",56
"Yang, Qiuhua",56
"Xu, Jiean",56
"Ma, Qian",56
"Zhang, Xiaoyu",56
"Wang, Jingjing",80
"Mao, Xiaoxiao",56
"Zeng, Xianqiu",56
"Hong, Mei",56
"Liu, Zhiping",56
"Huo, Yuqing",86
"Xing, Dongqi",5
"Wells, J. Michael",39
"Giordano, Samantha S.",5
"Feng, Wenguang",5
"Gaggar, Amit",39
"Yan, Jie",5
"Hage, Fadi G.",5
"Chen, Yiu-Fai",5
"Oparil, Suzanne",5
"Lin, Yu-Chun",6
"Liao, Yu-Jou",6
"Lee, Ying-Hsuan",6
"Tseng, Shun-Fu",6
"Liu, Jah-Yao",6
"Chen, Ying-Sheng",6
"Shui, Hao-Ai",6
"Lin, Feng-Zhi",6
"Lin, Kai-Hsuan",6
"Chen, Yao-Chang",6
"Sytwu, Huey-Kang",6
"Wang, Chih-Chien",6
"Chuang, Yi-Ping",6
"Brenner, Max",134
"Chen, Qiuhua",25
"Liu, Junjun",25
"Wang, Wanqiu",25
"Liu, Suzi",25
"Yang, Xiaoting",25
"Chen, Mingqi",25
"Cheng, Lu",25
"Lu, Jun",25
"Guo, Tao",25
"Huang, Fengjie",25
"Chen, Wenxia",13
"Wang, Shumin",13
"Xiang, Hengjie",13
"Liu, Jie",13
"Zhang, Yudan",13
"Zhou, Shasha",13
"Du, Tao",13
"Shan, Lei",13
"Horikami, Daiki",9
"Toya, Naoki",9
"Kobayashi, Koji",9
"Omori, Keisuke",9
"Nagata, Nanae",9
"Murata, Takahisa",84
"Novosel, Esther",8
"Borchers, Kirsten",8
"Kluger, Petra J.",8
"Mantalaris, Athanasios",8
"Matheis, Georg",8
"Pistolesi, Massimo",8
"Schneider, Joerg",8
"Wenz, Annika",8
"Lelkes, Peter I.",8
"Cao, Lirong",10
"Hu, Lili",10
"Hu, Dan",21
"Zadeh, Jenia Kouchek",18
"Ruemmler, Robert",18
"Hartmann, Erik Kristoffer",18
"Ziebart, Alexander",18
"Ludwig, Marion",18
"Patzak, Andreas",18
"Xia, Ning",18
"Li, Huige",18
"Pfeiffer, Norbert",18
"Gericke, Adrian",18
"Patil, Sahebgowda Sidramagowda",12
"Hernandez-Cueryo, Helena",12
"Fukumoto, Jutaro",12
"Narala, Venkata Ramireddy",12
"Saji, Smita",12
"Borra, Monica",12
"Alleyn, Matthew",12
"Lin, Muling",12
"Soundararajan, Ramani",12
"Lockey, Richard",12
"Kolliputi, Narasaiah",12
"Galam, Lakshmi",12
"Yang, Nana",16
"Tian, Hua",16
"Zhan, Enxin",16
"Zhai, Lei",16
"Jiao, Peng",16
"Yao, Shutong",16
"Lu, Guohua",16
"Mu, Qingjie",16
"Zhao, Aihua",16
"Zhou, Yadong",16
"Qin, Shucun",16
"Chen, Jiameng",11
"Wang, Huiqi",11
"Fan, Yiwen",11
"Li, Wenjie",11
"Chen, Yuanzhuo",11
"Pan, Shuming",11
"Yang, Chen",6
"Sui, Xintong",6
"Guo, Liang",6
"Zhu, Zhongming",6
"Liu, Yina",82
"Wang, Liang",53
"Lou, Jian",13
"Hu, Yue",13
"Wu, Min-dan",13
"Che, Luan-qing",13
"Wu, Yin-fang",13
"Zhao, Yun",13
"Tian, Bao-ping",13
"Bao, Zheng-qiang",13
"Zhu, Chen",13
"Wu, Yan-ping",13
"He, Lu-lu",13
"Bai, Chunxue",68
"Zhou, Jian",191
"Ying, Song-min",13
"Li, Wen",51
"Chen, Zhihua",24
"Chen, Da-xin",13
"Dorling, Anthony",13
"Shen, Huahao",24
"Tan, Wen",22
"Zhang, Chaoji",22
"Liu, Jianzhou",22
"Miao, Qi",22
"Fu, Cuiping",58
"Hao, Shengyu",58
"Xu, Xiaobo",58
"Liu, Zilong",141
"Lu, Huan",58
"Wang, Limin",58
"Jin, Weizhong",58
"Li, Shanqun",58
"Weng, Jie",8
"Zhou, Xiaoming",8
"Xie, Hui",26
"Gao, Ye",8
"Wang, Zhiyi",8
"Kelly, Gabriel T.",34
"Faraj, Reem",13
"Zhang, Yao",13
"Maltepe, Emin",13
"Trivedi, Alpa",21
"Miyazawa, Byron",21
"Gibb, Stuart",21
"Valanoski, Kristen",21
"Vivona, Lindsay",21
"Lin, Maximillian",21
"Potter, Daniel",21
"Stone, Mars",21
"Norris, Philip J.",21
"Murphy, James",21
"Smith, Sawyer",21
"Schreiber, Martin",21
"Pati, Shibani",135
"Fang, Yun",115
"Wu, David",115
"Fergie, Nicola",29
"Todd, Naomi",29
"McClements, Lana",29
"Krasnodembskaya, Anna",29
"Zhang, Chenou",16
Trang Nguyen,16
"Das, Pragnya",26
"Mahajan, Nidhi",26
"Romero, Freddy",88
"Singh, Harpreet",26
"Shen, Yaxing",29
"Wang, Yingqin",29
"Chen, Zhenglong",29
"Zhang, Lin",46
"Yu, Jie",102
"Vazquez-Medina, Jose Pablo",26
"Tao, Jian-Quin",26
"Patel, Priyal",26
"Bannitz-Fernandes, Renata",26
"Dodia, Chandra",26
"Sorokina, Elena M.",26
"Feinstein, Sheldon I.",26
"Chatterjee, Shampa",26
"Fisher, Aron B.",26
"Xu, Jian",53
"Wei, Guihong",24
"Yu, Min",53
"Zeng, Xiaoning",24
"Wang, Hong",187
"Xie, Weiping",53
"Kong, Hui",53
"Zhu, M.",34
"Wang, L.",61
"Yang, J.",17
"Xie, K.",17
"Liu, S.",17
"Xu, C.",17
"Wang, J.",27
"Gu, L.",17
"Ni, Z.",17
"Xu, G.",17
"Che, M.",17
"Zhao, Jiangnan",34
"Zhu, Meiying",34
"Jiang, Hao",34
"Shen, Simen",34
"Su, Xin",55
"Shi, Yi",49
"Tian, Yufeng",309
"Ohmura, Tomomi",70
"Sitikov, Albert",44
"Sarich, Nicolene",219
"Montgomery, Christopher P.",31
"Artham, Sandeep",29
"Gao, Fei",29
"Verma, Arti",29
"Alwhaibi, Abdulrahman",29
"Sabbineni, Harika",29
"Hafez, Sherif",29
"Ergul, Adviye",29
"Son, Sophia",31
"Berdyshev, Evgeny",259
"Bochkov, Valery N.",75
"Zhang, Xi-Wen",34
"Zheng, Guizhen",27
"Ben, Huijuan",27
"Li, Hongqiang",27
"Li, Xiuhua",27
"Dong, Tiancao",27
"Yan, Yanli",27
"Sun, Bingke",27
"Li, Yusheng",27
"Grose, Valerie",101
"Paton, Adrienne W.",65
"Paton, James C.",65
"Fawad, Muhammad",0
"Abbas, Muhammad",0
"Zhang, Limin",0
"Zhang, Yuping",0
"Guo, Yaxiong",0
"Hough, Rebecca F.",27
"Islam, Mohammad N.",43
"Gusarova, Galina A.",27
"Jin, Guangchun",27
"Das, Shonit",41
"Bhattacharya, Jahar",149
"Nova, Zuzana",78
"Skovierova, Henrieta",78
"Calkovska, Andrea",78
"Pellowe, Amanda S.",16
"Sauler, Maor",47
"Merola, Jonathan",16
"Liu, Rebecca",16
"Calderon, Brenda",16
"Lauridsen, Holly M.",16
"Harris, Mariah R.",16
"Leng, Lin",47
"Tilstam, Pathricia V.",16
"Pober, Jordan S.",16
"Bucala, Richard",47
"Lee, Patty J.",115
"Gonzalez, Anjelica L.",16
"Wang, Bao Q.",11
"Shi, Meng",20
"Zhang, Jian P.",11
"Wu, Xie",11
"Chang, Mei J.",11
"Song, Yuanlin",87
"Pooladanda, Venkatesh",87
"Thatikonda, Sowjanya",87
"Bale, Swarna",87
"Pattnaik, Bijay",87
"Sigalapalli, Dilep Kumar",87
"Bathini, Nagendra Babu",87
"Singh, Shashi Bala",87
"Godugu, Chandraiah",87
"Fan, Qiying",35
"Mao, Hua",35
"Xie, Liang",35
"Pi, Xinchun",35
"He, Mengyu",29
"Shi, Wen",29
"Jin, Linling",29
"Huang, Xuqing",14
"Zhu, Junqi",14
"Jiang, Yuyue",14
"Xu, Changqing",14
"Lv, Qun",14
"Yu, Dongwei",14
"Shi, Kai",14
"Ruan, Zhaoyang",14
"Jiang, Saiping",54
"Li, Shujuan",78
"Xu, Xiaoling",77
"Wang, Xiaojuan",77
"Kang, Xuqi",82
"Qi, Jing",53
"Lu, Xiaoyang",25
"Wu, Jiahui",25
"Du, Yongzhong",106
"Xiao, Yonghong",25
"Jin, Feiyang",28
"Liu, Di",28
"Yu, Hui",28
"You, Yuchan",28
"Lu, Kongjun",28
"Ying, Xiaoying",28
"You, Jian",28
"Ji, Jiansong",28
"Meliton, Angelo Y.",253
"Kerr, Nadine A.",35
"Vaccari, Juan Pablo de Rivero",35
"Umland, Oliver",35
"Bullock, M. Ross",35
"Conner, Gregory E.",35
"Dietrich, W. Dalton",35
"Keane, Robert W.",35
"Li, Hua",7
"Hou, Huan",7
"Liu, Shuang",7
"Feng, Yangyang",7
"Zhong, Wansi",7
"Hu, Xiaojuan",7
"Yan, Nianlong",7
"Meng, Li",33
"Cao, Haohao",33
"Wan, Chunhua",33
"Jiang, Lintao",33
"Lv, Lu",26
"Zhai, Peng",26
"Long, Tao",26
"Zhou, Qiang",26
"Pan, Huiwen",26
"Botwe, Godwin",26
"Wang, Liming",119
"Wang, Qun",26
"Tan, Lijie",26
"Zhang, Xue-Peng",9
"Zhang, Wei-Tao",9
"Qiu, Yue",9
"Ju, Min-Jie",9
"Tu, Guo-Wei",9
"Luo, Zhe",9
"Wang, Guokang",24
"Xu, Lexing",24
"Hou, Shanshan",24
"Chen, Ziwei",24
"Liu, Fuhe",24
"Monaghan, Sean F.",44
"Huang, Xin",25
"Huang, Lina",65
"Zhang, Xiaohua",76
"Ma, Xiaohong",33
"Li, Dongxiao",33
"Feng, Jiali",33
"Pan, Xinjie",33
"Lu, Junhong",65
"Liu, Xiangyong",187
"Li, Shi",2
"Zhong, Mingmei",2
"Sakata, Kimimasa",9
"Mizuno, Natsumi",9
"Palikhe, Sailesh",9
"Yamashita, Shigeyuki",9
"Zhang, Lichun",36
"Li, Qiuhe",10
"Liu, Zhenning",10
"Zhao, Min",10
"Zhang, MinLong",19
"Gao, Yongheng",19
"Zhao, Weiguo",19
"Yu, Gaole",19
"Jin, Faguang",79
"Jiang, Jing",29
"Ding, Renyu",47
"Li, Xin",29
"Chen, Bing",65
"Yang, Zhen",10
"Yang, Congwen",10
"Qin, Wenhan",10
"Gu, Jianteng",96
"Hu, Chuanmin",10
"Chen, An",10
"Ning, Jiaolin",69
"Yi, Bin",96
"Lu, Kaizhi",96
"Lederer, Paul A.",8
"Zhou, Tingting",8
"Mathew, Biji",125
"Zhang, Jiecheng",18
"Yu, Huajun",18
"Wang, Yu",26
"Wang, Xiaofeng",26
"Zhou, Yan",18
"Hao, CaiXia",18
"Li, Chen",18
"Huang, XiaoTing",18
"Li, XiaoHong",18
"Tang, YiTing",18
"Huang, YanHong",18
"Tang, SiYuan",18
"Feng, DanDan",18
"Xu, JianPing",18
"Yue, ShaoJie",18
"Luo, ZiQiang",18
"Caires, Nathalie De Freitas",100
"Gaudet, Alexandre",68
"Portier, Lucie",56
"Tsicopoulos, Anne",88
"Mathieu, Daniel",100
"Lassalle, Philippe",152
"Shan, Peiying",99
"Li, Zhenyu",21
"Ji, Xiao-xia",10
"Ji, Xiao-jing",10
"Li, Qian-qian",10
"Lu, Xiao-xian",10
"Wu, Xu",83
"Hu, Lijuan",83
"Gu, Wenyu",83
"Fang, Ming",31
"Zhong, Wen-hong",31
"Song, Wen-liang",31
"Deng, Yi-yu",31
"Yang, Duo-meng",31
"Xiong, Bin",31
"Wang, Hua-dong",31
"Park, Jeonghyun",70
"Liu, Airan",280
"Lee, JaeHoon",70
"Hao, Qi",70
"Lee, Jae-Woo",70
"Ma, Ruihua",15
"Wu, Pinwen",15
"Shi, Qiqing",15
"Proudfoot, Alastair G.",177
"Bayliffe, Andrew",50
"Wright, Tracey",50
"Serone, Adrian",50
"Bareille, Philippe Jean",50
"Brown, Vanessa",50
"Hamid, Umar I.",50
"Chen, Younan",50
"Wilson, Robert",50
"Cordy, Joanna",50
"Morley, Peter",50
"de Wildt, Ruud",50
"Elborn, Stuart",50
"Hind, Matthew",50
"Griffiths, Mark J.",177
"McAuley, Daniel Francis",230
"Mahapatra, Sidharth",3
"Ying, Lihua",15
"Ho, Peggy Pui-Kay",3
"Kurnellas, Michael",3
"Rothbard, Jonathan",3
"Steinman, Lawrence",3
"Cornfield, David N.",15
"Hsiao, Hsi-Min",42
"Fernandez, Ramiro",42
"Tanaka, Satona",42
"Li, Wenjun",42
"Spahn, Jessica H.",42
"Chiu, Stephen",42
"Akbarpour, Mahzad",42
"Ruiz-Perez, Daniel",42
"Wu, Qiang",42
"Turam, Cem",42
"Scozzi, Davide",42
"Takahashi, Tsuyoshi",42
"Luehmann, Hannah P.",42
"Puri, Varun",42
"Budinger, G. R. Scott",304
"Krupnick, Alexander S.",42
"Misharin, Alexander V.",42
"Lavine, Kory J.",42
"Gelman, Andrew E.",42
"Bharat, Ankit",42
"Kreisel, Daniel",42
"Zheng, Xia",49
